day,Outlook,Temperature,Humidity,Windy,Play
Afghanistan,1952,8425333,Asia,28.801,779.4453145
Afghanistan,1957,9240934,Asia,30.332,820.8530296
Afghanistan,1962,10267083,Asia,31.997,853.10071
Afghanistan,1967,11537966,Asia,34.02,836.1971382

Albania,1952,1282697,Europe,55.23,1601.056136
Albania,1957,1476505,Europe,59.28,1942.284244
Albania,1962,1728137,Europe,64.82,2312.888958
Albania,1967,1984060,Europe,66.22,2760.196931
Albania,1972,2263554,Europe,67.69,3313.422188
Albania,1977,2509048,Europe,68.93,3533.00391

Angola,1952,4232095,Africa,30.015,3520.610273
Angola,1957,4561361,Africa,31.999,3827.940465
Angola,1962,4826015,Africa,34,4269.276742
Angola,1967,5247469,Africa,35.985,5522.776375
Angola,1972,5894858,Africa,37.928,5473.288005
